name,frame,card_type,monster_type,level,attribute,cardmarket,tcgplayer,word_count
Metal Armored Bug,normal,Normal Monster,Insect,8,EARTH,0.04,0.11,14
Metal Dragon,fusion,Fusion Monster,Machine,6,WIND,0.43,0.16,7
Metal Fish,normal,Normal Monster,Machine,5,WATER,0.02,0.04,8
Metal Guardian,normal,Normal Monster,Fiend,5,DARK,8.33,1.71,15
Metal Shooter,effect,Effect Monster,Machine,5,LIGHT,1.28,0.26,40
Metalfoes Adamante,fusion,Fusion Monster,Psychic,5,FIRE,0.09,0.18,11
Metalfoes Crimsonite,fusion,Fusion Monster,Psychic,9,FIRE,0.09,0.18,11
Metalfoes Goldriver,normal_pendulum,Pendulum Normal Monster,Psychic,4,FIRE,0.07,0.20,49
Metalfoes Mithrilium,fusion,Fusion Monster,Psychic,6,FIRE,0.05,0.09,82
Metalfoes Orichalc,fusion,Fusion Monster,Psychic,8,FIRE,0.07,0.08,43
Metalfoes Silverd,normal_pendulum,Pendulum Normal Monster,Psychic,3,FIRE,0.03,0.01,52
Metalfoes Steelen,normal_pendulum,Pendulum Normal Monster,Psychic,2,FIRE,0.03,0.15,51
Metalfoes Vanisher,effect_pendulum,Pendulum Effect Monster,Psychic,9,FIRE,0.02,0.05,122
Metalfoes Volflame,normal_pendulum,Pendulum Normal Monster,Psychic,7,FIRE,0.08,0.14,50
Metallizing Parasite - Lunatite,effect,Union Effect Monster,Aqua,7,WATER,0.17,0.17,105
Metallizing Parasite - Soltite,effect,Union Effect Monster,Aqua,7,WATER,0.21,0.13,74
Metalrokket Dragon,effect,Effect Monster,Dragon,4,DARK,0.10,0.19,88
"Metaltron XII, the True Dracombatant",effect,Effect Monster,Wyrm,9,LIGHT,0.28,0.30,97
Metalzoa,effect,Effect Monster,Machine,8,DARK,6.64,1.03,18
Metamorphosed Insect Queen,effect,Effect Monster,Insect,7,EARTH,0.17,0.23,87
Metaphys Armed Dragon,normal,Normal Monster,Wyrm,7,LIGHT,0.07,0.15,6
Metaphys Daedalus,effect,Effect Monster,Wyrm,7,LIGHT,0.31,0.42,57
Metaphys Decoy Dragon,effect_pendulum,Pendulum Effect Monster,Wyrm,2,LIGHT,0.10,0.09,128
Metaphys Executor,effect,Effect Monster,Wyrm,10,LIGHT,0.14,0.11,70
Metaphys Horus,synchro,Synchro Monster,Wyrm,6,LIGHT,0.12,0.24,81
Metaphys Nephthys,effect,Effect Monster,Wyrm,8,LIGHT,0.17,0.35,59
Metaphys Ragnarok,effect,Effect Monster,Wyrm,4,LIGHT,0.21,0.44,81
Metaphys Tyrant Dragon,effect,Effect Monster,Wyrm,8,LIGHT,0.24,0.32,75
Meteor Black Comet Dragon,fusion,Fusion Monster,Dragon,8,DARK,1.75,3.25,73
Meteor Black Dragon,fusion,Fusion Monster,Dragon,8,FIRE,0.19,0.77,6
Meteor Dragon,normal,Normal Monster,Dragon,6,EARTH,0.19,0.33,11
Meteor Dragon Red-Eyes Impact,effect,Gemini Monster,Dragon,6,DARK,1.46,1.27,56
Meteor Rush - Monochroid,effect,Effect Monster,Machine,10,EARTH,0.02,0.04,58
Metrognome,effect_pendulum,Pendulum Effect Monster,Fairy,4,EARTH,0.07,0.08,89
Mezuki,effect,Effect Monster,Zombie,4,EARTH,0.31,0.49,20
"Michael, the Arch-Lightsworn",synchro,Synchro Monster,Dragon,7,LIGHT,0.77,0.67,79
"Michion, the Timelord",effect,Effect Monster,Fairy,10,FIRE,5.95,6.03,66
Micro Coder,effect,Effect Monster,Cyberse,1,DARK,0.18,0.16,97
Mid Shield Gardna,effect,Effect Monster,Warrior,4,EARTH,0.33,0.15,35
Midnight Fiend,normal,Normal Monster,Fiend,2,DARK,0.00,0.00,10
Mighty Dino King Rex,effect,Effect Monster,Dinosaur,9,EARTH,0.24,0.20,46
Mighty Guard,normal,Normal Monster,Machine,4,EARTH,0.05,0.13,15
Mighty Warrior,synchro,Synchro Monster,Warrior,6,EARTH,0.05,0.17,30
Mikazukinoyaiba,normal,Normal Monster,Dragon,7,DARK,0.26,0.44,11
Mild Turkey,normal_pendulum,Pendulum Normal Monster,Winged Beast,4,FIRE,0.02,0.10,41
Milla the Temporal Magician,effect,Effect Monster,Spellcaster,4,LIGHT,0.17,0.13,28
Millennium Golem,normal,Normal Monster,Rock,6,EARTH,1.94,1.86,15
Millennium Scorpion,effect,Effect Monster,Insect,5,EARTH,1.37,1.02,27
Millennium Seeker,effect,Effect Monster,Spellcaster,4,DARK,0.09,0.06,108
Millennium Shield,normal,Normal Monster,Warrior,5,EARTH,0.13,0.40,21
Millennium-Eyes Illusionist,effect,Effect Monster,Spellcaster,2,DARK,1.73,1.64,74
Millennium-Eyes Restrict,fusion,Fusion Monster,Spellcaster,1,DARK,2.32,0.95,67
Milus Radiant,effect,Effect Monster,Beast,1,EARTH,0.23,0.26,31
Mimicking Man-Eater Bug,effect,Flip Effect Monster,Insect,4,EARTH,0.05,0.07,52
Mimikuril,effect,Effect Monster,Fiend,3,DARK,0.04,0.07,82
Mimimic,effect,Effect Monster,Machine,3,EARTH,0.10,0.11,33
Mimir of the Nordic Ascendant,effect,Effect Monster,Fairy,2,DARK,0.11,0.16,38
Minar,effect,Effect Monster,Insect,3,EARTH,0.11,0.01,32
Mind Master,effect,Tuner Monster,Psychic,1,LIGHT,0.10,0.30,31
Mind on Air,effect,Effect Monster,Spellcaster,6,DARK,1.22,0.33,8
Mind Protector,effect,Effect Monster,Psychic,3,LIGHT,0.18,0.21,34
Mine Golem,effect,Effect Monster,Rock,3,EARTH,0.13,0.18,18
Mine Mole,effect,Effect Monster,Beast,3,EARTH,0.09,0.16,48
Minefieldriller,effect,Effect Monster,Machine,4,EARTH,0.10,0.12,31
"Minerva, Lightsworn Athena",synchro,Synchro Monster,Fairy,8,LIGHT,0.00,0.00,90
"Minerva, Lightsworn Maiden",effect,Tuner Monster,Spellcaster,3,LIGHT,1.69,0.97,79
"Minerva, Scholar of the Sky",effect,Effect Monster,Fairy,4,LIGHT,0.22,0.27,45
"Minerva, the Exalted Lightsworn",xyz,XYZ Monster,Fairy,4,LIGHT,12.15,13.59,111
Miniborrel Dragon,link,Link Monster,Dragon,L2,DARK,0.05,0.09,64
Minoan Centaur,effect,Effect Monster,Beast-Warrior,6,EARTH,0.05,0.08,23
Minomushi Warrior,normal,Normal Monster,Rock,4,EARTH,0.00,0.00,11
Mira the Star-Bearer,xyz,XYZ Monster,Warrior,1,LIGHT,0.23,0.12,34
Miracle Flipper,effect,Effect Monster,Spellcaster,2,LIGHT,0.07,0.19,66
Miracle Jurassic Egg,effect,Effect Monster,Dinosaur,4,EARTH,0.10,0.12,56
Mirage Dragon,effect,Effect Monster,Dragon,4,LIGHT,0.08,0.12,10
Mirage Knight,effect,Effect Monster,Warrior,8,LIGHT,0.88,0.50,56
Mirah and Matchnoko,effect,Effect Monster,Spellcaster,1,FIRE,0.00,0.00,104
Mirror Force Dragon,fusion,Fusion Monster,Dragon,8,LIGHT,0.16,0.29,41
Mirror Ladybug,effect,Effect Monster,Insect,1,LIGHT,0.13,0.57,60
Mirror Magic Master of the Ice Barrier,effect,Tuner Monster,Aqua,2,WATER,0.00,0.00,103
Mirror Resonator,effect,Tuner Monster,Fiend,1,LIGHT,0.22,0.24,86
Mirror Swordknight,effect,Effect Monster,Illusion,4,LIGHT,0.93,1.77,81
Mirrorjade the Iceblade Dragon,fusion,Fusion Monster,Wyrm,8,DARK,0.43,0.28,92
Misairuzame,normal,Normal Monster,Fish,5,WATER,0.87,0.07,7
Miscellaneousaurus,effect,Effect Monster,Dinosaur,4,FIRE,0.11,0.16,86
MiSolfachord Eliteia,effect_pendulum,Pendulum Effect Monster,Fairy,3,WATER,0.10,0.07,73
Missing Force,effect,Effect Monster,Warrior,4,DARK,0.15,0.07,43
Missus Radiant,link,Link Monster,Beast,L2,EARTH,0.27,0.59,62
Mist Archfiend,effect,Effect Monster,Fiend,5,DARK,0.06,0.20,32
Mist Bird Clausolas,synchro,Synchro Monster,Winged Beast,3,WIND,0.53,0.55,41
Mist Condor,effect,Effect Monster,Winged Beast,4,WIND,0.08,0.20,29
Mist Valley Apex Avian,effect,Effect Monster,Winged Beast,7,WIND,0.78,0.40,41
Mist Valley Baby Roc,effect,Tuner Monster,Winged Beast,2,WIND,0.13,0.07,17
Mist Valley Executor,effect,Effect Monster,Thunder,5,WIND,0.17,0.09,20
Mist Valley Falcon,effect,Effect Monster,Winged Beast,4,WIND,0.07,0.11,16
Mist Valley Shaman,effect,Tuner Monster,Winged Beast,3,WIND,0.28,0.09,25
Mist Valley Soldier,effect,Tuner Monster,Winged Beast,4,WIND,0.17,0.15,32
Mist Valley Thunder Lord,synchro,Synchro Monster,Thunder,7,WIND,0.44,0.10,44
Mist Valley Thunderbird,effect,Effect Monster,Thunder,3,WIND,0.16,0.18,28
Mist Valley Watcher,normal,Normal Monster,Spellcaster,4,WIND,0.16,0.20,28
Mist Valley Windmaster,effect,Tuner Monster,Winged Beast,2,WIND,0.12,0.21,36
Mist Wurm,synchro,Synchro Monster,Thunder,9,WIND,3.58,1.98,28
Mistar Boy,link,Link Monster,Aqua,L2,WATER,0.12,0.34,62
Mithra the Thunder Vassal,effect,Effect Monster,Thunder,2,LIGHT,0.18,0.88,109
Mitsu the Insect Ninja,effect,Effect Monster,Insect,2,WATER,0.20,0.24,90
Mixeroid,effect,Effect Monster,Machine,4,WIND,0.06,0.09,77
Moai Interceptor Cannons,effect,Effect Monster,Rock,4,EARTH,0.08,0.16,12
Mobius the Frost Monarch,effect,Effect Monster,Aqua,6,WATER,0.12,0.22,20
Mobius the Mega Monarch,effect,Effect Monster,Aqua,8,WATER,2.48,1.03,61
Mogmole,effect,Effect Monster,Beast,2,EARTH,0.08,0.15,36
Moisture Creature,effect,Effect Monster,Fairy,9,LIGHT,0.08,0.16,26
Moja,effect,Effect Monster,Beast,1,EARTH,0.15,0.19,26
Mokey Mokey,normal,Normal Monster,Fairy,1,LIGHT,0.10,0.36,19
Mokey Mokey Adrift,effect,Effect Monster,Fairy,1,LIGHT,0.04,0.06,42
Mokey Mokey King,fusion,Fusion Monster,Fairy,6,LIGHT,0.07,0.24,29
Molten Behemoth,normal,Normal Monster,Pyro,5,FIRE,0.23,0.20,11
Molten Zombie,effect,Effect Monster,Pyro,4,FIRE,0.06,0.06,12
Mon Larvas,normal,Normal Monster,Beast,4,EARTH,0.00,0.00,14
Monk Fighter,effect,Effect Monster,Rock,3,EARTH,0.07,0.15,14
Monk of the Tenyi,link,Link Monster,Wyrm,L1,EARTH,0.98,1.47,4
Mono Synchron,effect,Tuner Monster,Machine,1,DARK,1.62,1.41,28
Monoceros,effect,Effect Monster,Beast,3,LIGHT,0.15,0.26,61
Monster Egg,normal,Normal Monster,Warrior,3,EARTH,0.24,0.06,12
Monster Express,effect,Effect Monster,Machine,4,EARTH,0.08,0.13,68
Monster Eye,effect,Effect Monster,Fiend,1,DARK,25.01,36.68,15
Monster Tamer,normal,Normal Monster,Warrior,5,EARTH,5.56,0.66,10
Monstrous Bird,normal,Normal Monster,Winged Beast,6,WIND,0.00,0.00,14
Monsturtle,normal,Normal Monster,Aqua,3,WATER,0.00,0.00,12
Montage Dragon,effect,Effect Monster,Dragon,8,EARTH,0.76,3.50,44
Moon Dragon Quilla,synchro,Synchro Monster,Dragon,6,DARK,0.12,0.10,44
Moon Envoy,normal,Normal Monster,Warrior,4,LIGHT,3.87,0.96,10
Moon of the Closed Sky,link,Link Monster,Fiend,L2,LIGHT,0.00,0.00,54
Moonhaze Dragon Vagnawa,synchro,Synchro Monster,Dragon,7,DARK,0.00,0.00,72
Moonlit Papillon,effect,Effect Monster,Insect,4,LIGHT,0.15,0.14,25
"Morgan, the Enchantress of Avalon",effect,Effect Monster,Spellcaster,3,DARK,0.33,0.32,64
Morinphen,normal,Normal Monster,Fiend,5,DARK,0.35,0.07,9
Mormolith,effect,Effect Monster,Rock,4,EARTH,0.10,0.24,25
Morph King Stygi-Gel,effect,Tuner Monster,Fiend,1,DARK,0.40,0.21,94
"Morpheus, the Dream Mirror Black Knight",effect,Effect Monster,Warrior,8,DARK,2.43,1.72,75
"Morpheus, the Dream Mirror White Knight",effect,Effect Monster,Warrior,8,LIGHT,0.19,0.22,82
Morphing Jar,effect,Flip Effect Monster,Rock,2,EARTH,0.86,1.73,18
Morphing Jar #2,effect,Flip Effect Monster,Rock,3,EARTH,0.24,0.25,56
Morpho Butterspy,effect,Effect Monster,Warrior,4,DARK,0.11,0.14,31
Morphtronic Boarden,effect,Effect Monster,Machine,3,EARTH,0.14,0.33,29
Morphtronic Boomboxen,effect,Effect Monster,Machine,4,EARTH,0.45,0.94,39
Morphtronic Cameran,effect,Effect Monster,Machine,2,LIGHT,0.10,0.19,46
Morphtronic Celfon,effect,Effect Monster,Machine,1,EARTH,0.30,0.55,81
Morphtronic Clocken,effect,Effect Monster,Machine,2,EARTH,0.14,0.20,51
Morphtronic Datatron,effect,Effect Monster,Pyro,3,FIRE,0.18,0.19,36
Morphtronic Earfon,synchro,Synchro Monster,Machine,4,EARTH,0.08,0.03,88
Morphtronic Lantron,effect,Tuner Monster,Machine,1,LIGHT,0.12,0.19,46
Morphtronic Magnen,effect,Effect Monster,Thunder,3,EARTH,0.18,0.23,40
Morphtronic Magnen Bar,effect,Effect Monster,Thunder,1,EARTH,0.12,0.16,61
Morphtronic Radion,effect,Effect Monster,Thunder,4,LIGHT,0.72,0.53,24
Morphtronic Remoten,effect,Tuner Monster,Machine,3,EARTH,0.04,0.27,77
Morphtronic Scannen,effect,Tuner Monster,Machine,6,EARTH,0.06,0.02,92
Morphtronic Scopen,effect,Tuner Monster,Machine,3,LIGHT,0.19,1.23,43
Morphtronic Slingen,effect,Effect Monster,Machine,4,WIND,0.14,0.22,44
Morphtronic Smartfon,effect,Tuner Monster,Machine,1,EARTH,0.30,0.30,104
Morphtronic Staplen,effect,Effect Monster,Machine,4,EARTH,0.12,0.26,71
Morphtronic Telefon,effect,Tuner Monster,Machine,1,EARTH,0.11,0.06,108
Morphtronic Vacuumen,effect,Effect Monster,Machine,1,WIND,0.20,0.17,69
Morphtronic Videon,effect,Effect Monster,Machine,4,LIGHT,0.19,0.21,34
Mosaic Manticore,effect,Effect Monster,Beast,8,EARTH,0.18,0.17,45
Mother Grizzly,effect,Effect Monster,Beast-Warrior,4,WATER,0.07,0.20,31
Mother Spider,effect,Effect Monster,Insect,6,DARK,0.31,0.75,31
Mother Spider Splitter,effect,Effect Monster,Insect,5,DARK,0.11,0.10,88
Motivating Captain,effect,Effect Monster,Warrior,1,EARTH,0.10,0.10,30
Motor Frenzy,effect,Effect Monster,Machine,6,DARK,0.11,0.06,90
Motor Shell,effect,Effect Monster,Machine,4,DARK,0.02,0.13,37
Moulinglacia the Elemental Lord,effect,Effect Monster,Sea Serpent,8,WATER,0.13,0.12,71
Mountain Warrior,normal,Normal Monster,Beast-Warrior,3,EARTH,0.00,0.00,12
Mozarta the Melodious Maestra,effect,Effect Monster,Fairy,8,LIGHT,0.26,0.57,30
Mr. Volcano,normal,Normal Monster,Pyro,5,FIRE,0.16,0.05,9
Ms. Judge,effect,Effect Monster,Fiend,4,LIGHT,0.84,0.46,36
Muckraker From the Underworld,link,Link Monster,Fiend,L2,DARK,1.74,1.33,89
Mucus Yolk,effect,Effect Monster,Aqua,3,DARK,0.34,0.30,49
Mudan the Rikka Fairy,effect,Effect Monster,Plant,6,WATER,0.09,0.08,55
Muddy Mudragon,synchro,Synchro Monster,Dragon,6,DARK,0.27,0.50,81
Mudora,effect,Effect Monster,Fairy,4,EARTH,0.13,0.22,12
Mudora the Sword Oracle,effect,Effect Monster,Fairy,4,EARTH,0.58,0.68,89
Mudragon of the Swamp,fusion,Fusion Monster,Wyrm,4,WATER,0.14,0.13,51
Muka Muka,effect,Effect Monster,Rock,2,EARTH,0.10,0.11,13
Multiple Piece Golem,fusion,Fusion Monster,Rock,7,EARTH,0.50,0.63,56
Munin the Runick Wings,fusion,Fusion Monster,Fairy,3,LIGHT,0.19,0.25,79
Muscle Medic,effect,Effect Monster,Warrior,4,WATER,0.07,0.12,18
Muse-A,normal,Normal Monster,Fairy,3,LIGHT,0.00,0.00,11
Mushroom Man,normal,Normal Monster,Plant,2,EARTH,1.96,5.39,15
Mushroom Man #2,effect,Effect Monster,Warrior,3,EARTH,1.49,0.11,42
Musical Sumo Dice Games,xyz,XYZ Monster,Machine,6,FIRE,0.07,0.07,106
Musician King,fusion,Fusion Monster,Spellcaster,5,LIGHT,0.49,0.30,9
"Musto, Oracle of Gusto",effect,Effect Monster,Psychic,4,WIND,0.39,0.19,39
Mutant Mindmaster,effect,Effect Monster,Spellcaster,6,DARK,0.22,0.20,45
Muzurhythm the String Djinn,xyz,XYZ Monster,Fiend,3,WIND,0.12,0.14,53
Mysterion the Dragon Crown,fusion,Fusion Monster,Spellcaster,8,LIGHT,0.26,0.22,86
Mysterious Guard,effect,Flip Effect Monster,Spellcaster,3,EARTH,0.09,0.05,54
Mysterious Puppeteer,effect,Effect Monster,Warrior,4,EARTH,0.08,0.10,20
Mystery Hand,normal,Normal Monster,Fiend,2,DARK,0.00,0.00,12
Mystery Shell Dragon,normal,Normal Monster,Wyrm,4,DARK,0.09,0.20,20
Mystic Clown,normal,Normal Monster,Fiend,4,DARK,0.15,0.21,10
Mystic Horseman,normal,Normal Monster,Beast,4,EARTH,0.06,0.07,13
Mystic Lamp,effect,Effect Monster,Spellcaster,1,DARK,0.13,0.09,9
Mystic Macrocarpa Seed,effect,Tuner Monster,Plant,3,EARTH,0.09,0.15,45
Mystic Piper,effect,Effect Monster,Spellcaster,1,LIGHT,12.87,18.20,36
Mystic Potato,effect,Effect Monster,Plant,4,DARK,0.00,0.00,37
Mystic Swordsman LV2,effect,Effect Monster,Warrior,2,EARTH,0.52,1.28,53
Mystic Swordsman LV4,effect,Effect Monster,Warrior,4,EARTH,0.09,0.35,62
Mystic Swordsman LV6,effect,Effect Monster,Warrior,6,EARTH,3.35,0.54,49
Mystic Tomato,effect,Effect Monster,Plant,4,DARK,0.23,0.46,31
Mystical Beast of Serket,effect,Effect Monster,Fairy,6,EARTH,0.09,0.21,33
Mystical Capture Chain,normal,Normal Monster,Fairy,2,LIGHT,0.00,0.00,9
Mystical Elf,normal,Normal Monster,Spellcaster,4,LIGHT,0.08,0.16,15
Mystical Elf - White Lightning,effect,Effect Monster,Spellcaster,4,LIGHT,1.83,8.31,95
Mystical Fairy Elfuria,effect,Effect Monster,Spellcaster,3,WIND,0.32,0.27,38
Mystical Knight of Jackal,effect,Effect Monster,Beast-Warrior,7,LIGHT,5.13,2.25,38
Mystical Sand,fusion,Fusion Monster,Rock,6,EARTH,0.32,0.17,7
Mystical Sheep #1,effect,Effect Monster,Beast,3,EARTH,5.70,8.65,23
Mystical Sheep #2,normal,Normal Monster,Beast,3,EARTH,0.19,0.07,10
Mystical Shine Ball,normal,Normal Monster,Fairy,2,LIGHT,0.22,0.25,19
Mystrick Hulder,effect,Effect Monster,Spellcaster,5,DARK,0.05,0.06,69
Mythic Tree Dragon,effect,Effect Monster,Dragon,4,EARTH,0.13,0.20,22
Mythic Water Dragon,effect,Effect Monster,Dragon,8,WATER,0.11,0.30,28
Mythical Beast Bashilisk,effect_pendulum,Pendulum Effect Monster,Spellcaster,4,LIGHT,0.16,0.27,120
Mythical Beast Cerberus,effect,Effect Monster,Spellcaster,4,LIGHT,0.06,0.10,44
Mythical Beast Garuda,effect_pendulum,Pendulum Effect Monster,Spellcaster,4,LIGHT,3.46,1.77,116
Mythical Beast Jackal,effect_pendulum,Pendulum Effect Monster,Spellcaster,1,DARK,0.29,0.47,106
Mythical Beast Jackal King,effect_pendulum,Pendulum Effect Monster,Spellcaster,6,DARK,1.16,0.70,107
Mythical Beast Master Cerberus,effect_pendulum,Pendulum Effect Monster,Spellcaster,8,LIGHT,3.02,1.61,135
Mythical Beast Medusa,effect_pendulum,Pendulum Effect Monster,Spellcaster,4,LIGHT,0.03,0.12,126
Myutant Arsenal,effect,Effect Monster,Machine,8,FIRE,0.11,0.21,91
Myutant Beast,effect,Effect Monster,Beast,8,EARTH,0.19,0.22,94
Myutant GB-88,effect,Effect Monster,Psychic,4,WATER,0.08,0.04,78
Myutant M-05,effect,Effect Monster,Psychic,2,WATER,2.14,2.10,76
Myutant Mist,effect,Effect Monster,Spellcaster,8,WIND,0.18,0.19,87
Myutant Mutant,effect,Effect Monster,Psychic,1,WATER,0.13,0.06,79
Myutant ST-46,effect,Effect Monster,Psychic,3,WATER,1.66,0.74,73
Myutant Synthesis,fusion,Fusion Monster,Psychic,9,WATER,0.14,0.23,103
Myutant Ultimus,fusion,Fusion Monster,Psychic,10,DARK,2.54,0.81,95
N.As.H. Knight,xyz,XYZ Monster,Aqua,5,WATER,0.40,0.28,84
Naelshaddoll Ariel,effect,Flip Effect Monster,Psychic,4,WATER,0.15,0.13,58
"Naglfar, Generaider Boss of Fire",effect,Effect Monster,Beast-Warrior,9,FIRE,0.30,0.58,51
Nanobreaker,effect,Effect Monster,Machine,4,EARTH,0.07,0.12,23
Naturia Antjaw,effect,Effect Monster,Insect,2,EARTH,0.55,0.28,21
Naturia Bamboo Shoot,effect,Effect Monster,Plant,5,EARTH,0.59,0.42,27
Naturia Barkion,synchro,Synchro Monster,Dragon,6,EARTH,1.68,0.58,52
Naturia Beans,effect,Effect Monster,Plant,2,EARTH,0.24,0.37,26
Naturia Beast,synchro,Synchro Monster,Beast,5,EARTH,1.10,0.59,53
Naturia Beetle,effect,Effect Monster,Insect,4,EARTH,0.14,0.08,16
Naturia Butterfly,effect,Tuner Monster,Insect,3,EARTH,0.20,0.17,26
Naturia Camellia,effect,Tuner Monster,Plant,4,EARTH,0.10,0.09,82
Naturia Cherries,effect,Tuner Monster,Plant,1,EARTH,0.44,0.25,40
Naturia Cliff,effect,Effect Monster,Rock,4,EARTH,1.00,0.20,29
Naturia Cosmobeet,effect,Tuner Monster,Plant,2,EARTH,0.42,0.17,18
Naturia Dragonfly,effect,Effect Monster,Insect,4,EARTH,0.15,0.14,28
Naturia Eggplant,effect,Effect Monster,Plant,2,EARTH,1.02,0.77,29
Naturia Exterio,fusion,Fusion Monster,Beast,10,EARTH,1.64,0.32,61
Naturia Fruitfly,effect,Effect Monster,Insect,3,EARTH,0.24,0.16,42
Naturia Gaiastrio,fusion,Fusion Monster,Rock,10,EARTH,0.25,0.26,48
Naturia Guardian,effect,Effect Monster,Plant,4,EARTH,0.67,0.13,16
Naturia Horneedle,effect,Effect Monster,Insect,4,EARTH,0.95,0.30,25
Naturia Hydrangea,effect,Effect Monster,Plant,5,EARTH,0.22,0.17,23
Naturia Ladybug,effect,Effect Monster,Insect,1,EARTH,0.18,0.13,42
Naturia Landoise,synchro,Synchro Monster,Rock,7,EARTH,0.89,0.22,42
Naturia Leodrake,synchro,Synchro Monster,Beast,9,EARTH,0.55,0.15,10
Naturia Mantis,effect,Effect Monster,Insect,4,EARTH,0.15,0.15,23
Naturia Marron,effect,Effect Monster,Plant,3,EARTH,0.10,0.15,41
Naturia Mole Cricket,effect,Effect Monster,Insect,1,EARTH,0.15,0.06,97
Naturia Mosquito,effect,Effect Monster,Insect,1,EARTH,0.25,0.29,39
Naturia Pineapple,effect,Effect Monster,Plant,2,EARTH,0.27,0.11,57
Naturia Pumpkin,effect,Effect Monster,Plant,4,EARTH,0.27,0.15,22
Naturia Ragweed,effect,Effect Monster,Plant,3,EARTH,0.09,0.12,26
Naturia Rock,effect,Effect Monster,Rock,3,EARTH,0.29,0.11,26
Naturia Rosewhip,effect,Tuner Monster,Plant,3,EARTH,3.70,0.50,10
Naturia Spiderfang,effect,Effect Monster,Insect,4,EARTH,0.16,0.09,20
Naturia Stag Beetle,effect,Effect Monster,Insect,6,EARTH,0.15,0.28,38
Naturia Stinkbug,effect,Tuner Monster,Insect,3,EARTH,0.19,0.21,33
Naturia Strawberry,effect,Effect Monster,Plant,4,EARTH,0.13,0.09,32
Naturia Sunflower,effect,Effect Monster,Plant,2,EARTH,2.41,0.62,26
Naturia Tulip,effect,Tuner Monster,Plant,2,EARTH,0.22,0.14,29
Naturia Vein,effect,Tuner Monster,Plant,1,EARTH,0.24,0.25,23
Naturia White Oak,effect,Effect Monster,Plant,4,EARTH,0.35,0.12,46
"Nauya, the Ogdoadic Remnant",effect,Effect Monster,Reptile,4,DARK,0.16,0.17,56
Nazuki the Vaylantz Ninja,effect_pendulum,Pendulum Effect Monster,Spellcaster,6,WATER,0.10,0.07,127
Nebula Dragon,effect,Effect Monster,Dragon,8,LIGHT,0.41,0.48,83
Neck Hunter,normal,Normal Monster,Fiend,6,DARK,0.16,0.40,14
Necro Defender,effect,Effect Monster,Fiend,2,DARK,0.12,0.19,43
Necro Fleur,effect,Effect Monster,Plant,1,DARK,0.07,0.09,25
Necro Gardna,effect,Effect Monster,Warrior,3,DARK,0.19,0.19,29
Necro Linker,effect,Effect Monster,Fiend,2,DARK,0.15,0.21,37
Necro Synchron,effect,Tuner Monster,Machine,2,DARK,0.25,0.18,76
Necroface,effect,Effect Monster,Zombie,4,DARK,0.39,0.14,53
Necrolancer the Time-lord,normal,Normal Monster,Spellcaster,3,DARK,0.00,3.73,17
Necroworld Banshee,effect,Effect Monster,Zombie,4,DARK,0.54,0.63,55
Needle Ball,effect,Flip Effect Monster,Fiend,2,DARK,0.13,0.07,14
Needle Burrower,effect,Effect Monster,Machine,5,DARK,0.45,0.40,35
Needle Soldier,effect,Effect Monster,Machine,1,EARTH,0.11,0.21,45
Needle Sunfish,effect,Effect Monster,Fish,3,WATER,0.08,0.06,20
Needle Worm,effect,Flip Effect Monster,Insect,2,EARTH,1.63,2.62,13
Nefarious Archfiend Eater of Nefariousness,effect,Effect Monster,Beast,4,EARTH,0.08,0.17,58
Nehshaddoll Genius,effect,Flip Effect Monster,Machine,4,EARTH,1.71,0.83,69
"Neiroy, the Dream Mirror Disciple",effect,Effect Monster,Fairy,3,LIGHT,0.08,0.08,103
"Neiroy, the Dream Mirror Traitor",effect,Effect Monster,Fiend,3,DARK,0.09,0.12,104
Neko Mane King,effect,Effect Monster,Beast,1,EARTH,0.46,0.38,28
Nekogal #1,normal,Normal Monster,Beast,3,EARTH,1.49,2.11,12
Nekogal #2,normal,Normal Monster,Beast-Warrior,6,EARTH,1.24,1.03,9
Nekroz of Areadbhair,ritual,Ritual Effect Monster,Warrior,10,WATER,1.10,0.51,97
Nekroz of Brionac,ritual,Ritual Effect Monster,Warrior,6,WATER,3.53,2.13,80
Nekroz of Catastor,ritual,Ritual Effect Monster,Dragon,5,WATER,0.21,0.32,87
Nekroz of Clausolas,ritual,Ritual Effect Monster,Warrior,3,WATER,0.15,0.24,83
Nekroz of Decisive Armor,ritual,Ritual Effect Monster,Dragon,10,WATER,0.68,0.36,93
Nekroz of Gungnir,ritual,Ritual Effect Monster,Spellcaster,7,WATER,0.32,0.18,94
Nekroz of Sophia,ritual,Ritual Effect Monster,Spellcaster,11,LIGHT,9.46,7.38,99
Nekroz of Trishula,ritual,Ritual Effect Monster,Warrior,9,WATER,0.96,0.73,94
Nekroz of Unicore,ritual,Ritual Effect Monster,Spellcaster,4,WATER,0.21,0.53,67
Nekroz of Valkyrus,ritual,Ritual Effect Monster,Spellcaster,8,WATER,1.07,0.62,94
Nemeses Corridor,effect,Effect Monster,Thunder,4,WIND,1.31,1.11,57
Nemeses Flag,effect,Effect Monster,Pyro,2,FIRE,3.44,2.13,59
Nemeses Keystone,effect,Effect Monster,Rock,1,EARTH,1.30,0.67,63
Nemeses Umbrella,effect,Effect Monster,Aqua,3,WATER,0.17,0.28,57
Nemleria Dream Defender - Couette,effect,Effect Monster,Beast,10,LIGHT,0.09,0.11,91
